time;replicators;no_par;mean_R_par;mean_length_par;mean_mfe_par;no_templ;mean_R_templ;mean_length_templ;mean_mfe_templ;no_enz0;mean_R_enz0;mean_length_enz0;mean_mfe_enz0;mean_a_enz0;no_enz1;mean_R_enz1;mean_length_enz1;mean_mfe_enz1;mean_a_enz1;no_enz2;mean_R_enz2;mean_length_enz2;mean_mfe_enz2;mean_a_enz2;no_enz3;mean_R_enz3;mean_length_enz3;mean_mfe_enz3;mean_a_enz3;no_enz4;mean_R_enz4;mean_length_enz4;mean_mfe_enz4;mean_a_enz4;no_enz5;mean_R_enz5;mean_length_enz5;mean_mfe_enz5;mean_a_enz5;no_enz6;mean_R_enz6;mean_length_enz6;mean_mfe_enz6;mean_a_enz6;no_Genz0;mean_R_Genz0;mean_length_Genz0;mean_mfe_Genz0;mean_a_Genz0;no_Genz1;mean_R_Genz1;mean_length_Genz1;mean_mfe_Genz1;mean_a_Genz1;no_Genz2;mean_R_Genz2;mean_length_Genz2;mean_mfe_Genz2;mean_a_Genz2;no_Genz3;mean_R_Genz3;mean_length_Genz3;mean_mfe_Genz3;mean_a_Genz3;no_Genz4;mean_R_Genz4;mean_length_Genz4;mean_mfe_Genz4;mean_a_Genz4;no_Genz5;mean_R_Genz5;mean_length_Genz5;mean_mfe_Genz5;mean_a_Genz5;no_Genz6;mean_R_Genz6;mean_length_Genz6;mean_mfe_Genz6;mean_a_Genz6;no_A0;no_A1;no_A2;no_A3;no_A4;no_A5;no_A6;no_A7;no_replications;no_deaths
0;71995;0;0;0;0;0;0;0;0;9896;11.5474;45.48;-7.81361;0.277411;9478;11.2261;49.5724;-7.9872;0.247146;9511;11.3215;47.2087;-8.18417;0.194972;9447;11.1551;50.8882;-7.85937;0.304496;10003;11.9533;45.7995;-6.37769;0.30483;9439;11.1454;50.2864;-8.09377;0.259827;9855;11.6373;45.5512;-7.44739;0.310241;2570;11.2083;49.7097;-7.98179;0.125386;936;11.299;51.1132;-7.45962;0.116756;1826;11.2368;49.3182;-8.01062;0.0884713;871;11.2269;52.2629;-7.34305;0.143393;336;11.4764;49.9286;-7.02917;0.147508;974;11.3202;51.654;-7.12485;0.113356;1260;11.2521;50.1698;-7.7269;0.145521;0;67629;4325;41;0;0;0;0;0;0
1000;65242;18606;9.82174;54.8626;-18.9887;14810;9.81063;55.0962;-18.6052;5461;9.89448;53.6268;-17.6671;0.260307;1507;9.82756;55.0418;-18.1271;0.15886;4476;9.69898;57.1941;-19.4225;0.259034;2970;9.89861;53.5155;-17.7815;0.145151;3452;9.80159;55.6747;-17.839;0.684125;1471;9.86391;54.123;-18.5807;0.456083;6566;9.85632;53.843;-19.1984;0.175118;3481;9.86451;54.3476;-17.165;0.0845483;1743;9.77048;58.5818;-13.5832;0.0663454;1713;9.8308;54.77;-18.1314;0.0988406;1945;9.88971;54.147;-16.1646;0.0825597;486;9.82313;55.5556;-16.4786;0.410544;1995;9.8017;57.5113;-14.3468;0.0508777;483;9.78074;55.6439;-18.7008;0.133636;33416;25903;5923;0;0;0;0;0;6801139;6807892
2000;70916;21185;9.81656;54.2757;-22.1775;13259;9.79732;54.655;-22.2571;6304;9.79026;54.79;-22.1743;0.302654;3537;9.87745;53.0492;-21.5331;0.124677;5137;9.72088;56.2007;-22.4798;0.308948;3758;9.81401;54.3361;-21.4966;0.217107;3515;9.7418;55.975;-21.225;0.724023;3535;9.85694;53.4221;-21.8177;0.276619;5842;9.80196;54.501;-22.2258;0.298165;2723;9.86593;53.3705;-21.1104;0.116226;683;9.59796;59.9736;-18.0072;0.0590096;2537;9.80192;54.4501;-22.425;0.080672;813;9.76277;55.4908;-20.9691;0.0662242;1220;9.79432;54.6156;-22.6043;0.138789;1192;9.8308;54.9169;-18.3208;0.0648645;520;9.7488;55.6346;-21.861;0.138194;34444;31628;4844;0;0;0;0;0;14986452;14987531
3000;76286;23208;9.81728;54.1079;-23.7887;13847;9.80733;54.3202;-23.5798;6092;9.79015;54.6425;-23.8478;0.377056;4763;9.89213;52.5362;-23.7586;0.162859;4964;9.74682;55.5987;-23.2015;0.394072;4922;9.79179;54.6111;-23.2868;0.294468;3327;9.80001;54.5125;-22.5237;0.797519;4154;9.85614;53.3587;-22.6714;0.302859;6358;9.78301;54.6735;-25.236;0.399977;2441;9.88945;52.7603;-22.1086;0.181333;577;9.44635;62.3865;-20.7972;0.102952;2534;9.81888;54.06;-22.7332;0.0611652;620;9.77471;54.9371;-23.5373;0.085828;1494;9.84018;53.589;-22.7858;0.265037;1191;9.82502;54.5987;-19.8526;0.0672555;445;9.74148;55.7955;-21.9231;0.204245;37055;34580;4651;0;0;0;0;0;23272075;23267784
4000;78288;23878;9.83288;53.7454;-24.4826;14368;9.82575;53.8515;-25.0247;5823;9.81744;54.0625;-24.3783;0.489029;4746;9.88752;52.5988;-25.0363;0.189338;5288;9.76801;55.0972;-24.082;0.351948;4821;9.81974;53.9581;-24.1559;0.464381;3404;9.78247;54.7861;-23.4038;0.885665;4816;9.89069;52.5907;-23.5864;0.302474;6361;9.81213;54.0363;-25.4592;0.477233;3150;9.88573;52.72;-23.3668;0.197595;539;9.50463;60.9703;-22.9896;0.288857;2135;9.80616;54.3237;-22.8377;0.0791417;965;9.79432;54.4808;-24.3531;0.153865;1004;9.82004;54.0259;-22.5812;0.320441;1270;9.90418;52.7575;-21.2206;0.151844;505;9.7695;54.9941;-25.3802;0.245212;38246;35259;4781;2;0;0;0;0;31771260;31764967
5000;78957;22184;9.86618;53.039;-24.819;14155;9.86029;53.1638;-24.9571;7134;9.83234;53.7202;-25.0372;0.579931;5174;9.92274;51.8475;-25.5976;0.249051;5182;9.79507;54.533;-24.0524;0.394145;4662;9.83121;53.7115;-24.4964;0.538395;4082;9.80632;54.3028;-23.4375;0.958447;4974;9.91341;52.1148;-23.7763;0.469736;6555;9.81922;53.903;-25.9539;0.547865;3291;9.90603;52.2562;-24.1344;0.256138;551;9.61096;58.6007;-23.4485;0.352788;2015;9.83438;53.7072;-23.6708;0.0793646;1228;9.81758;53.9373;-25.1886;0.171632;861;9.8245;53.9454;-22.9204;0.42817;1275;9.92364;52.2525;-22.2808;0.176465;489;9.87538;52.8712;-24.0235;0.221334;36339;37763;4855;0;0;0;0;0;40228660;40221698
6000;80417;23387;9.89417;52.4647;-24.9229;14455;9.90609;52.1954;-24.8829;5893;9.84089;53.553;-24.6999;0.600034;5455;9.93969;51.4686;-25.5085;0.266911;5380;9.86039;53.1401;-23.9962;0.464557;4269;9.83519;53.6568;-23.9301;0.630333;4743;9.84055;53.564;-23.8003;0.952665;5481;9.94024;51.5486;-23.9128;0.591637;6693;9.82922;53.6961;-26.3179;0.57537;3651;9.88931;52.6078;-23.4498;0.259188;274;9.95311;51.6277;-21.1949;0.250033;1596;9.86925;53.0301;-23.3393;0.107963;1734;9.8097;54.1234;-24.273;0.293554;540;9.86436;53.1093;-23.0422;0.459346;948;10.0514;49.4842;-22.0714;0.149445;579;9.88527;52.7927;-23.4686;0.154115;37842;37914;4661;0;0;0;0;0;48776266;48767844
7000;79831;22339;9.90464;52.2604;-24.5175;14086;9.8932;52.4311;-25.1803;6586;9.82397;53.8691;-25.117;0.609311;6281;9.91987;51.8309;-25.8289;0.384101;5473;9.87947;52.7689;-24.1828;0.535636;4257;9.85948;53.1189;-24.2714;0.678598;4544;9.86439;53.0878;-23.6007;1.00842;5504;9.9423;51.5194;-23.8048;0.682755;6520;9.84115;53.4293;-26.9142;0.684642;3176;9.88016;52.7191;-24.0143;0.267711;473;9.89013;52.4693;-23.8596;0.307296;1157;9.81699;54.0294;-24.1794;0.138649;1964;9.86496;52.9873;-24.2187;0.33636;578;9.83433;53.6367;-24.0116;0.411974;506;9.98263;50.8518;-22.1022;0.201695;628;9.83273;53.6369;-24.6561;0.230876;36425;39165;4241;0;0;0;0;0;57358926;57351090
8000;80086;22814;9.92076;51.9211;-24.784;13848;9.90905;52.1102;-25.2113;6431;9.84844;53.3496;-24.7727;0.556999;5872;9.9094;52.0347;-26.0023;0.492235;6321;9.88628;52.543;-25.1315;0.607138;3697;9.87458;52.819;-24.3714;0.745656;5153;9.86594;53.0221;-23.8957;1.01788;5331;9.9677;51.0326;-23.6569;0.738297;6834;9.91076;52.0508;-27.1024;0.754997;2991;9.90534;52.2404;-23.6422;0.270321;438;9.89597;52.4201;-23.708;0.258974;786;9.86559;53.0929;-23.8678;0.154385;1746;9.84437;53.394;-24.1549;0.384045;329;9.82519;53.8632;-23.8614;0.449339;769;10.0051;50.4083;-22.5996;0.253534;511;9.82702;53.8454;-24.5544;0.267279;36662;39639;3785;0;0;0;0;0;65910863;65902772
9000;80470;22736;9.92387;51.8594;-24.833;13221;9.91554;51.9812;-25.2055;6410;9.8931;52.4811;-24.6775;0.572435;6099;9.88129;52.5935;-25.8397;0.622318;7052;9.88743;52.5092;-25.2076;0.67686;3907;9.89692;52.3752;-23.9912;0.859149;6446;9.86967;52.8953;-24.6698;1.02844;5092;9.96943;50.9935;-23.7651;0.731408;6503;9.95847;51.0726;-27.1266;0.780224;2624;9.90706;52.1845;-23.9699;0.282886;200;9.80317;54.315;-23.774;0.201611;174;9.92944;51.9253;-23.0661;0.176627;1593;9.86368;53.0157;-24.0235;0.387933;68;9.8563;53.3676;-22.4221;0.455945;950;9.92332;51.9768;-23.4646;0.246507;399;9.70271;56.4386;-23.8148;0.331554;35957;41509;3004;0;0;0;0;0;74495126;74486651
